File Format	-4
Header Size-Total Lines	68
Header Size-Text Lines	10
File Info String	Put experiment notes here: DON'T USE TAB or ENTER keys!
Channel Assignment1	Trap1X
Channel Assignment2	Trap1Y
Channel Assignment3	Trap2X
Channel Assignment4	Trap2Y
Channel Assignment5	Sum1
Channel Assignment6	Sum2
Channel Assignment7	AODpos
Channel Assignment8	FB-FiltErr
Power Spectra File Name	220826-cal  1.txt
Number of Channels	8
Sample Rate	20000
Sample Averaging	1
AI-6 Data Select	1
K1	0.024436
K2	1.000000
K3	0.041955
K4	1.000000
CAL1	63.489382
CAL2	1.000000
CAL3	43.727517
CAL4	1.000000
Fc1	393.001173
Fc2	1.000000
Fc3	674.755804
Fc4	1.000000
FB-Mbead Trap	2.000000
FB-Filter	2.000000
FB-Gain	0.100000
Fb-MaxPosRange	200.000000
Fb-Window(TC)	5.000000
Fb-Setpoint(init)	0.308457
FB-Trap1AvgV	0.308457
FB-Trap2AvgV	1.599781
AOD-Oscill-WaitT	150.000000
AOD-BindThr	1.000000
AOD-ReleaseThr	0.500000
AOD-RampProbeOn	0.000000
AOD-NMperKHZ	0.857000
AOD1-InitPos	4.740000
AOD2-InitPos	-4.000028
AOD1-Ampl	17.000000
AOD2-Ampl	19.000000
Stage-OscillFreq	10
Stage-OscillAmpl	20
Stage-OscillWfm	0
Stage-BindThr-dF	5.000000
Stage-ReleaseThr-dF	3.000000
Trap1Offset	1.200000
Trap2Offset	4.800000
Ramp-NMperStep_R	5.000000
Ramp-NMperStep_L	5.000000
Ramp-StepTime	1.000000
Ramp-Move Dist	200.000000
Ramp-InitDir	0.000000
Ramp-Type	1.000000
Reserved	0.000000
Mode	2.000000
FB-PulseWidth	0.500000
FB-PulseVolts	0.500000
FB-PulseIntrvl	100.000000
Temperature	0.000000
Reserved6	0.000000
Reserved7	0.000000
Reserved8	0.000000
Trap1X	Trap1Y	Trap2X	Trap2Y	Sum1	Sum2	AODpos	FB-FiltErr
-0.735191	0.030519	0.936003	0.114750	5.027619	4.802393	817.644651	-0.045167
-0.654622	0.039674	0.853298	0.116276	5.059664	4.839625	819.933090	-0.037843
-0.601520	0.032044	0.872829	0.116276	5.044710	4.828333	821.894609	-0.032960
-0.559709	0.054933	1.070284	0.013428	5.075533	4.868618	823.529208	-0.029298
-0.535600	0.067446	1.082186	0.025636	5.047761	4.845729	825.163807	-0.027467
-0.477920	0.053102	0.947600	0.042421	5.031587	4.832301	826.471487	-0.022279
-0.421461	0.050356	1.001923	0.100101	5.052644	4.851833	827.779166	-0.017090
-0.523087	0.024720	1.120945	0.083926	5.033723	4.831690	828.759926	-0.027772
-0.494095	-0.014649	1.114231	0.086673	5.029756	4.824366	830.067605	-0.025330
-0.371410	0.032350	1.034577	0.090640	5.036470	4.830470	831.375285	-0.013123
-0.351573	0.037233	1.049226	0.030213	5.058748	4.848476	832.029124	-0.011292
-0.322886	0.033876	1.203955	-0.008545	5.016022	4.806360	832.682964	-0.008545
-0.293283	0.046388	1.096835	-0.031739	5.049287	4.833216	833.009884	-0.005799
-0.222175	0.082705	1.050447	-0.012207	5.014496	4.802393	833.336804	0.001221
-0.221870	0.127567	1.153600	-0.078738	5.023041	4.814295	833.336804	0.000916
-0.166936	0.131840	1.161840	-0.078433	5.017853	4.807886	833.336804	0.006409
-0.070193	0.110477	1.289407	0.029908	4.986724	4.770043	833.009884	0.016175
-0.080264	0.164190	1.404767	0.010376	5.057222	4.840541	832.029124	0.015259
-0.138554	0.115970	1.360210	0.003967	5.047761	4.835047	831.375285	0.009461
-0.141911	0.073855	1.243629	-0.040895	5.008698	4.792322	830.721445	0.009156
-0.139775	0.102542	1.255837	-0.066225	5.029145	4.819788	830.394525	0.009156
-0.223701	0.089114	1.172216	-0.005493	5.014801	4.802698	830.067605	0.000916
-0.169378	0.065004	1.309549	-0.025636	5.000458	4.786828	829.740685	0.006409
